,0
122,Final Result - Ubuntu 22.04 Customizations Series - Version 3.0
123,Additional Setup - MX Linux 23 XFCE Customization
124,Video Tutorial - How to Costumize MX Linux 23 Xfce Edition
125,Final Result - MX Linux 23 Xfce Edition Customization
126,MX Linux 23 Overview: What's New and Exciting?
127,Exploring OpenKylin 1.0 - A Comprehensive Review
128,Additional Setup - Make Your Linux Mint Cinnamon Look Warm and Aesthetic with Gruvbox Color Theme
129,How to Make Your Linux Mint Cinnamon Edition Look Warm and Aesthetic with Gruvbox Color Theme
130,Final Result - Give Your Linux Mint Cinnamon Edition look Warm and Aesthetic with Gruvbox Color
131,Here's Final Results: Transform KDE Plasma 5.27.x into a macOS-Like Look #linux #plasmadesktop
132,🎨 Customize Your GNOME Desktop with Gruvbox Color Scheme! 🌈 |  GNOME Customizations
133,Cinnamon Desktop Warm and Aestetic Look With Catppuccin Theme
134,Additional Setups - How to Transform Your KDE Plasma Look Like macOS
135,iPhone 15 Pro: 3 Months Later!
136,These AI Glasses are Crazy!
137,Smartphone Awards 2023!
138,The Worst Hot Takes in Tech
139,Formula One: Explained!
140,Why Don't More Smartphones Have This?
141,Cybertruck vs EUROPE
142,Driving Tesla Cybertruck: Everything You Need to Know!
143,This Smartwatch is $69!
144,Electric Scooter INSIDE a Briefcase!
145,iPhone Gets RCS! With a Catch...
146,"To Beat the iPhone, You Must... Be the iPhone?"
147,Space Black M3 Max MacBook Pro Review: We Can Game Now?!
148,Introducing 251.1!
149,Apple Math 🍎
150,Garbage Collection in Python: Speed Up Your Code
151,GUI Applications For All Platforms with Flet in Python
152,Ranger: The Linux File Manager For Vim Lovers
153,Virtual Displays in Python For Server Deployment
154,Run R Code in Python with rpy2
155,Google Cloud Vision API For Image Annotation in Python
156,"Run Your Own LLM Locally: LLaMa, Mistral & More"
157,Massive Python Speed-Up: Caching Across Sessions
158,Structural Pattern Matching in Python: Not Your Average Switch-Case
159,Simple OCR in Python with easyocr
160,Find Most Important Features For Machine Learning in Python
161,shutil: The Ultimate Python File Management Toolkit
162,Advanced Python Dictionaries with Benedict
163,Graph Coloring Algorithm in Python
164,Mandelbrot Set Visualization in Python
165,JUJUTSU KAISEN STAFFEL 2 IN 60 MINUTEN
166,"100 Pokemon Fragen, die sich jeder stellt"
167,Netflix Bringt One Piece Anime Remake!
168,DARUM will Sukuna Yuji BRECHEN…
169,SHIBUYA ARC - Darum ist Jujutsu Kaisen ein Modernes Meisterwerk
170,INAZUMA ELEVEN IN 90 MINUTEN
171,Was BEDEUTEN Son Gokus Symbole?
172,0NE PlECE WANO KUNI ARC IN 123 MINUTEN
173,JAPAN ARC IN 21 MINUTEN
174,Ich habe JAPANER eine Anime Tier Liste erstellen lassen
175,"Anime Imperialismus: 35 ANIME kämpfen gegeneinander, bis einer übrig bleibt!"
176,Das Ende von Attack On Titan Erklärt! (Warum du Eren nie verstanden hast)
177,"Ich habe 100 Influencer gefragt, was ihr Lieblings Anime ist"
178,Wusstest du DAS schon über Kakashi Hatake?
179,YU-GI-OH! IN 145 MINUTEN
180,Hole dir diese NEUEN Geschenke für Pokémon Karmesin & Purpur! 🤩🎁
181,So FANGT ihr ALLE wilden Stellar Pokémon! | Pokémon Karmesin & Purpur DLC
182,Wirf JETZT deinen MEISTERBALL in Pokémon Karmesin & Purpur! 😯
183,So bekommt ihr euer 100% GARANTIERTES SHINY im Pokémon Karmesin & Purpur DLC!
184,Was passiert wenn du ein LEGENDÄRES Pokémon im Karmesin & Purpur DLC tauschen möchtest? 🤔
185,Noch MEHR coole Geschenke in Pokémon Karmesin & Purpur! #shorts
186,Der DLC erklärt die GESAMTE WAHRHEIT über die Paradox Pokémon!
187,Verschwende NICHT deine Geheimgewürze für DIESE Mission im Pokémon DLC! 😯
188,Der Pokémon Karmesin & Purpur Epilog erscheint im Januar 2024: Was ihr JETZT wissen müsst!
189,So fangt ihr ALLE 24 Starter Pokémon im Karmesin & Purpur DLC!
190,So entwickelst du Galar Flegmon zu Galar Lahmus & Laschoking im Pokémon DLC! 😯
191,FANGE dir Meloetta im Pokémon Karmesin und Purpur DLC!
192,Fange JETZT ein wildes Meloetta im Pokémon Karmesin & Purpur DLC!
193,GEHEIMES GERICHT gibt bis zu 50 Prozent MEHR SHINYS im Pokémon Karmesin & Purpur DLC!
194,Wie ihr Sirapfel & Duraludon zu Hydrapfel & Briduradon entwickelt - Pokémon Indigoblaue Scheibe
195,"HPE 38: Bacon, Petty y el amor al dato."
196,HPE 37: Bullionismo.
197,HPE 36: ¿Inflación o codicia?
198,HPE 35: Telémaco y el Dios relojero.
199,HPE 34: Antimercantilismo.
200,HPE 33: El mercantilismo francés.
201,HPE 32: El banco de Inglaterra.
202,HPE 31: ¿Qué es el mercantilismo?
203,HPE 30: Amarás al estado sobre todas las cosas.
204,HPE 29: Absolutismo y escepticismo.
205,HPE 28: Maquiavelo y el gobernante temido.
206,HPE 27: El gobernante virtuoso y amado.
207,HPE 26: Reyes católicos… ¡Ni en pintura!
208,HPE 25: La teoría monetaria de Copérnico.
209,HPE 24: El comunismo iluminado.
210,Episode 58: Power Up & Freak Out | The Linux For Everyone Podcast
211,How To Install GE-Proton in 2022 | Works on Linux Distros + Steam Deck!
212,STEAM DECK Gameplay | LEGO Star Wars: The Skywalker Saga
213,Steam Deck Just Hit A HUGE Milestone
214,Intel Arc Dedicated GPUs and Linux: Everything You Need To Know!
215,"Forget TweetDeck, Use This Open-Source Twitter App Instead"
216,Steam Deck Has A TON of Great Apps In Desktop Mode!
217,Steam Deck Desktop Guide: Connect USB-C Hubs and External Monitors
218,Steam Deck LIVE: Vampire Survivors + Q&A
219,Steam Deck Benchmark Battle: I wasn't expecting this!
220,Windows 10 on Steam Deck
221,The Steam Deck changed us forever.
222,Raw Steam Deck Recording using OBS Studio and Internal Mic
223,Valve Added Exclusive Steam Deck Wallpapers And They're Gorgeous
224,Steam Deck Running Portal 2 At 4K/60fps
225,The EASIEST Way To Deploy Coding Projects (For FREE)
226,Why Everyone is Freaking Out About RAG
227,How To Get Ahead of 99% Of Developers
228,Training An AI To Play Blackjack | MSI Raider GE78 HX
229,LangChain Explained In 15 Minutes - A MUST Learn For Python Programmers
230,The Problem With Web Scraping in 2023...
231,5 Coding Projects That Give You An UNFAIR Advantage
232,3 Python Automation Projects - For Beginners
233,How To Speed Up Pandas in Python By 150x
234,DON’T Make These 5 Coding Mistakes…
235,Python Selenium Tutorial - Automate Websites and Create Bots
236,3 Types Of Projects That Make YOU A Programmer
237,Coding Was HARD Until I Learned These 3 Things...
238,This Coding Project Gives You an UNFAIR Advantage
239,Day In The Life Of a Programmer… In Singapore
240,5 Steps To Get Rich in the 2024 Recession
241,"My Stock Portfolio, Beating the Market, Buying My Tesla, Property, Gambling and more!"
242,My 2024 Financial Position and Investing Goals Explained.
243,"The U.S. Economy Enters ""The Most Dangerous Time"" in History (Jamie Dimon Explains)"
244,Lasting Lessons from Charlie Munger.
245,How Did OpenAI Go So Badly Wrong?
246,The U.S. Economy Just Hit a Major “Inflection Point” (Ray Dalio Interview)
247,Is the S&P 500 Just a Giant Bubble?
248,Charlie Munger’s Final Warning for Investors in 2024
249,The Treasury Bond Collapse is Real.
250,The Warren Buffett Scandal That Nearly Destroyed Wall Street
251,The U.S. Economy Just Hit a Big Turning Point. (Howard Marks' Sea Change Is Here)
252,Greedflation: This Cost of Living Crisis Is Unlike Any Other.
253,Guy Spier: How to Invest in 2024 (During Inflation and High Interest Rates)
254,10 Things I Wish I Knew Before I Started Stock Market Investing (How to Invest in 2023)
255,The Red Sea Shipping Crisis Explained.
256,Our 2023 Stock Market Predictions!
257,The Video Game Business Gets Some Big News!
258,The Investing World Mourns the Passing of Charlie Munger
259,The Crazy End to the Sam Altman Saga + Binance Founder CZ Pleads Guilty!
260,Warren Buffett Insider Trading Scandal | Live from Canberra
261,Sam Bankman-Fraud is Guilty.
262,Disney Goes Shopping Again + Huge SpaceX Deal
263,"The Advertising Industry Is Bouncing Back! (Google, Meta, Snap Earnings Released)"
264,Netflix adds 9M Subs + Tesla Struggles with Margin Squeeze
265,Scathing New Details Emerge in the Sam Bankman-Fried Trial
266,Bill Ackman Has A New Bridge To Sell You
267,"After 17 Years, McDonald's Has Finally Cracked..."
268,Starbucks' Founder BAILS + Who's Riding NVIDIA's Coat Tails?
269,Guy Spier Talks Investing In Our Current Economic Climate
270,Chat With Patrons (Dec 31 2023)
271,Ask DT! You Might Even Get An Answer. (If Your Question Isn't Asinine)
272,"How Can Anyone Use ""INSERT NAME OF PRODUCT""?!"
273,"Adm42, Is It The Ultimate Keyboard?"
274,"Adding Fancy ""Zoom To Mouse"" Effects In OBS"
275,Linux Content Creators Christmas Special - LIVE!
276,"Emacs Does Everything, Including Viewing PDFs and Diffs"
277,A Look At SparkyLinux With KDE Plasma
278,Is It WRONG To Use Snaps If You Love Open Source?
279,4M Linux Is A Strange Beast...But I Kinda Like It
280,"Hey, DT! What About YouTube's War With Ad-Blockers?"
281,Why New Linux Users Quit And Go Back To Windows
282,"Chat With Patrons (Nov 26, 2023)"
283,"The Apps That I Use (Most Available on Windows, Mac and Linux!)"
284,Creating Charts Is Simple With LibreOffice
285,The FASTEST Way To Get A Pay Raise!
286,How The Housing Crash Will Happen
287,DO NOT SHUTDOWN OLD CREDIT CARDS
288,Americans Are Spending Like There's No Tomorrow..
289,"URGENT: Federal Reserve ENDS Rate Hikes, Prices Fall, Massive Pivot Ahead!"
290,MrBeast Reveals How Much Money He Makes!
291,It’s Here: The Reverse Housing Crash Of 2024
292,The Truth About My Coffee Company (I Screwed Up)
293,The Auto Market Bubble Just Popped
294,It Started: The Reverse Market Crash Of 2024
295,Fox News Cancelled Me
296,Power Couple Makes $2500/Day From Dog Daycare
297,"BREAKING: The FED Pauses Rates, Housing Declines, Recession Cancelled"
298,Caleb Hammer's Student Loan Debt!
299,Making $2500 Per Day with a Luxury Dog Hotel | Undercover Millionaire
300,Easily 3 Star the Chief of the North Challenge (Clash of Clans)
301,I Upgraded a New Account to Town Hall 16 in One Video!
302,Easily 3 Star The Glove From Above Challenge (Clash of Clans)
303,New Cookie Rumble Event - Everything You Need to Know!
304,"0 - 5,000 Trophies in ONE Day!"
305,We Got Town Hall 16!! Spending Spree on the Update (Clash of Clans)
306,Max Town Hall 16 Gameplay and Strategies!
307,New Hero Equipment Explained in Clash of Clans!
308,New Root Rider Troop in Clash of Clans!
309,New Spirit Fox Pet in Clash of Clans!
310,New Merged Defenses in Clash of Clans!
311,New Update - Town Hall 16 in Clash of Clans!
312,Easily 3 Star the Last Town Hall 15 Challenge (Clash of Clans)
313,Easily 3 Star the Clashmas Gingerbread Challenge (Clash of Clans)
314,Is Town Hall 16 the December Update?
315,How Dominican Republic Wants to Separate From Haiti
316,The 3 Most Disappointing Politicians in 2023
317,How Libyan Chaos Threatens the West
318,Is Venezuela Preparing to Invade Guyana?
319,How Europe Prepared to Outpace Boeing - VisualPolitik EN
320,Portugal Missed Its Chance to Be Rich - VisualPolitik EN
321,Why Defending Taiwan Might Be Harder Than Defending Ukraine? - VisualPolitik EN
322,How China is Preparing to Invade Taiwan - VisualPolitik EN
323,Why the Chinese Crisis Could Be Bad News for Everyone - VisualPolitik EN
324,The Most Incredible Fact About Singapore - VisualPolitik EN
325,Why President Milei Is Not What the Media Says - VisualPolitik EN
326,The Origin of Modern Dubai - VisualPolitik EN
327,Why Does Venezuela Want to Invade Guyana? - VisualPolitik EN
328,The situation of Afghan Women - VisualPolitik EN
329,Does Nuclear Energy Have a Future? - VisualPolitik EN
330,The First Punic War - OverSimplified (Part 2)
331,The First Punic War - OverSimplified (Part 1)
332,The Pig War - OverSimplified
333,The Napoleonic Wars - OverSimplified (Part 2)
334,The Napoleonic Wars  - OverSimplified (Part 1)
335,Prohibition - OverSimplified
336,The Russian Revolution - OverSimplified (Part 2)
337,The Russian Revolution - OverSimplified (Part 1)
338,Henry VIII - OverSimplified
339,The American Civil War  - OverSimplified (Part 2)
340,The American Civil War - OverSimplified (Part 1)
341,The War of the Bucket - OverSimplified
342,The French Revolution - OverSimplified (Part 2)
343,The French Revolution - OverSimplified (Part 1)
344,Three Kingdoms - OverSimplified
345,Diese Tools verwandeln macOS in Windows
346,Ab jetzt zahlen für Windows 10? Die Fakten im Überblick zum Windows 10 Abo
347,"11 Microsoft Edge Tricks, die ihr unbedingt anwenden solltet"
348,Wie die EU eigenhändig Windows 11 besser gemacht hat
349,Windows 11: Ultimativer Backup Guide mit Synology NAS
350,Warum Windows 10 bald zum Problem wird 🚨
351,Müssen wir alle bald Windows neu kaufen?
352,Microsofts neuer Servicevertrag: Totalüberwachung & Verhaltenskodex - Faktencheck
353,Windows 11 bekommt revolutionäre KI-Funktionen
354,Windows 7 auf Windows 10: Gratis Upgrade ist zu Ende
355,Windows 11 auf alten PCs: Updates installieren und wichtige Tipps
356,Windows 11 Moment 4 ist da: Warum nicht 23H2?
357,Acer Predator Triton 300SE Review: 14-Zoll OLED Gaming Laptop!
358,Surface Duo: Mit Windows 11 besser als mit Android?
359,Was macOS besser macht als Windows 11
360,Com'è andato questo 2023?
361,CI SIAMO: Linux su Apple Silicon è MEGLIO che su x86
362,Ho migrato Windows durante un aggiornamento di sistema ☠️
363,HO SABOTATO un intero cluster di server Proxmox
364,Mi avete chiesto di DISTRUGGERE Fedora SilverBlue...
365,Che succede se CANCELLO TUTTO su SilverBlue Linux?
366,Raspberry Pi 5: Piccolo ma... INFIAMMABILE 😂
367,Fedora Silverblue: finalmente una immutabile decente?
368,È ORA DI ABBANDONARE LA NAVE CHE AFFONDA 🚢 - Migrazione ZFS su Proxmox
369,Mi è appena esploso un disco 😱
370,Che succede se uso LINUX su DISCHI DANNEGGIATI?
371,Come cifrare i dati sul Cloud per proteggersi dai ficcanaso.
372,ZimaBlade: Ma come fa a costare COSÌ POCO?
373,5 FALSI MITI su GNU/LINUX | Morrolinux @ Linux Day Milano 2023
374,Che succede se prendo un RANSOMWARE su una distro IMMUTABILE?
375,Spielplätze in Russland - ein Produkt jahrzehntelanger Propaganda.
376,2023 war Film gewesen (feat. Ski Aggu)
377,Das beste Geld aller Zeiten
378,Die Deo-Lüge
379,Die hässlichste Farbe der Welt
380,Das gefährlichste McDonald's Spielzeug
381,Findest du die versteckten Nachrichten in diesen Logos?
382,Die gefährlichste App aller Zeiten
383,Der schlimmste Leak aller Zeiten
384,Der größte Cannabis-Betrug aller Zeiten
385,Wie Schweden unfassbar reich wird
386,Die Wahrheit über Depressionen
387,Warum deutsche Städte so hässlich sind
388,Warum McDonald's in Frankreich besser ist
389,Der gefährlichste YouTube-Kanal Deutschlands
390,What can the equipment losses tell us about the war between Russia and Ukraine?
391,Ukrainian counteroffensive infographic - June
392,North African campaign mapped
393,The War in the Desert 1940-1943 mapped
394,"Why Russia, not China controls Siberia?"
395,War in South-East Ukraine February 2022 - March 2023
396,Eastory 400 000 Subs Q&A
397,Land warfare around the Mediterranean: 1940-1941
398,Operations in East Ukraine (1943-2015)
399,Why Kharkiv is the most important location in Eastern Ukraine
400,Operations in East Ukraine (1919-1942)
401,How Ukraine was able to survive
402,Eastern front losses mapped
403,"WW2: The Allies vs Germany, 1940 #shorts"
404,WW2 in Estonia - 1944
405,Let's learn more about Regions in Azure
406,What is a Resource Group in Azure?
407,How to analyze cost on Azure?
408,Wake On LAN in HomeAssistant
409,Wake On LAN Routing?
410,Let's explore the Azure Web UI
411,Free Cloud Services on Microsoft Azure
412,Get started on Microsoft Azure?
413,Let's analyze Wake On LAN
414,"Use Microsoft Azure, in a Homelab?"
415,Azure beginners guide! (free cloud services)
416,Reacting to your HomeLabs //part 2
417,Learning Docker // Build Container Images
418,What's the problem with shielding in CAT 7?
419,Looking inside an S/FTP CAT 7 Ethernet Cable
420,52 Sets: What’s All The Hype About?
421,OVERRATED: The Worst Fitness Advice Ever
422,Top 4 Lat Exercises (Huge Stretch!)
423,Top 3 Shoulder Exercises For 3D Delts
424,Is Sam Sulek’s Training Dumb?
425,The World's Smartest Intensity Technique For Muscle Growth
426,My New Science-Based Full Body Workout For Pure Bodybuilding
427,How To Train For Pure Muscle Growth
428,How To Force New Chest Growth (Using Integrated Partials)
429,Protein: Everything You Need To Know For Muscle Growth
430,The Worst Triceps Mistake Everyone Is Making
431,The 6-12 Hypertrophy Rep Range Is A Myth… kind of
432,Does Creatine Cause Hair Loss? (Science Explained)
433,Creatine: Everything You Need To Know
434,The Perfect Lower Body Workout (According To Science)
435,you need to learn tmux RIGHT NOW!!
436,the most secure OS in the world.....I hate it
437,Here's why everyone is worried about Google Chrome
438,What does a PROXY actually do??
439,the EASIEST way to build a website
440,Google is forcing you to use their proxy (build your own instead)
441,this Will replace your dog
442,Put your website on the Dark Web
443,The Dark Web NEEDS You!
444,Windows has a SECRET MODE??
445,Check your USB cables for this!!
446,My SECRET Server Room Project
447,How To Access the DARK WEB in 2023 (3 Levels)
448,the Raspberry Pi 5 is finally here!!!!
449,the Raspberry Pi 5
450,ALLE 25 legendären Pokémon im DLC die Indigoblaue Scheibe finden | Karmesin & Purpur
451,Alle Maskonis EINFACH & SCHNELL finden in Pokemon Karmesin & Purpur DLC
452,25 DLC prerelease FAKTEN & EASTER EGGS in Pokemon Karmesin & Pokémon Purpur
453,PokéTen + PocketNeon - Grenzenlos (Lady Gaga & Ariana Grande - Rain on me Cover)
454,KRASSES Team Star Geheimnis & Fakten in Pokemon Karmesin und Purpur
455,"Das LEGENDÄRE, ungelöste Geheimnis in Pokemon Karmesin und Purpur"
456,DIESES Feature gibt es NICHT mehr in Pokemon Karmesin und Purpur
457,GARANTIERTES SHINY Pokemon bekommen in Karmesin und Purpur
458,Shiny Mopex EINFACH hunten in Pokemon Karmesin und Purpur
459,EINFACH Shiny Knapfel hunten in Pokemon Karmesin und Purpur
460,"25 Fakten, Easter Eggs & Tipps in Pokemon Karmesin und Purpur"
461,WEITERE Gierspenst Münzen bekommen in Pokemon Karmesin und Purpur
462,WEITERE NEUE Pokemon in Karmesin und Purpur DLC?
463,SHINYHUNT Rezepte & Sandwich & Geheimgewürze sparen in Pokemon Karmesin und Purpur
464,7 Sterne Tera Raids EINFACH schaffen Multiplayer & Solo Pokemon Karmesin und Purpur
465,How Nebula Works
466,The Insane Engineering of Orbit
467,An Astronaut Chokes on His First Job in Space
468,The Insane Engineering of the Space Shuttle
469,This Experimental Plane Crashed in 1956 - Bell X-2
470,The Insane Engineering of the F-16
471,A Ukrainian Tractor Modified to Clear Mines
472,The Painful Challenge of Demining Ukraine
473,The First Plane To Travel Supersonic
474,The Incredible Potential of Superconductors
475,NASA's Plan to Build A Telescope on the Moon
476,How Japan's Maglev Train Works
477,How Hypersonic Wind Tunnels Work
478,The Uncertain Future of Nuclear Power
479,The Questionable Engineering of Oceangate
480,Linux Q&A - Hauke und Jean beantworten Eure Fragen! - Live
481,Meine Top 10 Open Source Programme 2023 (teils Server-Software)
482,Debian Xfce - Weihnachtsedition
483,NixOS - Das Linux mit ganz eigenen Herangehensweisen. Grundkonzept vorgestellt
484,Sparky Linux 7.2 vorgestellt - Mein Lieblings Debian-Derivat im Test
485,Slackware installiert - Das älteste Linux vorgestellt
486,5 Open Source Spiele Klassiker für Weihnachten - Livestream mit Hauke und Jean
487,Bodhi Linux vorgestellt - Eine kleine aber feine Community
488,BlendOS - viele Distributionen auf einem einzigen System
489,VanillaOS vorgestellt - Neuartige Konzepte einzigartig verpackt
490,Pop!_OS vorgestellt - Dieses Linux macht Linux Mint Konkurrenz
491,Alpine Linux - Tiny Core Linux aber sinnvoll!
492,Knoppix vorgestellt - Das steckt hinter der CD!
493,ZorinOS vorgestellt - Dieses System überwindet die größte Hürde in Open Source
494,Betterbird vs Thunderbird - Livestream mit Hauke und Jean
495,Was hörst du: n oder ng?
496,"Ja, ja, die schwere deutsche Sprache"
497,Hör zu! 👂 Richtig oder falsch?
498,"Freitag, der Dreizehnte 😱 So klingt das R!"
499,Aussprachetraining Live: Wörter und Ausdrücke zum Thema Herbst
500,"Aussprache für Perfektionisten! Sprich ""t"" so aus"
501,Sag's natürlicher!
502,"Fünf Aussprachefehler, die du (vielleicht) noch nicht kanntest"
503,Kannst du alle Aussprachefehler hören?
504,C1! Endlich kann ich richtig gut Deutsch!
505,Wie spricht man diese fünf schwierigen deutschen Wörter aus? | feat. Vera von sylby
506,Aussprache verbessern mit einer App? Vera und Paras stellen sylby vor!
507,Grammatik und Aussprache: Konjunktiv II oder Präteritum? | ft. Sprakuko Deutsch lernen
508,So viele Vokale gibt es wirklich! | Deutsche Aussprache verbessern
509,Melodien und Akzente: Übe die deutsche Intonation mit einem Beispielsatz
